probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,
3.430912	445.508621	19.402000
3.432499	445.394894	19.502000
3.422335	446.158463	19.602000
3.425639	445.927699	19.702000
3.434131	445.231278	19.802000
3.426570	445.791682	19.902000
3.421163	446.188193	20.002000
3.431278	445.442950	20.102000
3.433413	445.303347	20.202000
3.421891	446.143225	20.302000
3.423376	446.043984	20.402000
3.433973	445.245635	20.502000
3.428958	445.617094	20.602000
3.420378	446.231688	20.702000
3.428377	445.603890	20.802000
3.433606	445.230320	20.902000
3.424139	445.947760	21.002000
3.422573	446.081706	21.102000
3.432646	445.337941	21.202000
3.429145	445.548438	21.302000
3.420599	446.212545	21.403000
3.427796	445.691119	21.502000
3.434448	445.196172	21.602000
3.424170	445.957281	21.702000
3.420697	446.188547	21.802000
3.432128	445.368418	21.902000
3.431955	445.317701	22.002000
3.421091	446.143886	22.102000
3.425063	445.897139	22.202000
3.433774	445.220944	22.302000
3.426286	445.774901	22.402000
3.420603	446.223967	22.502000
3.429959	445.527899	22.602000
3.431800	445.318145	22.702000
3.421693	446.066244	22.802000
3.424395	445.915600	22.902000
3.433649	445.235968	23.002000
3.426838	445.737235	23.102000
3.418930	446.299638	23.202000
3.428993	445.541618	23.302000
3.433629	445.206186	23.402000
3.422824	446.004679	23.502000
3.422018	446.087582	23.602000
3.432080	445.336885	23.702000
3.428456	445.601766	23.802000
3.419948	446.271697	23.902000
3.427185	445.699539	24.002000
3.432842	445.246455	24.102000
3.423160	445.934674	24.202000
3.421476	446.122665	24.302000
3.431912	445.387577	24.402000
3.429223	445.537366	24.502000
3.419052	446.282928	24.602000
3.425835	445.763184	24.702000
3.434294	445.125753	24.802000
3.425100	445.835264	24.903000
3.419708	446.247149	25.002000
3.429618	445.451586	25.102000
3.430621	445.362977	25.202000
3.420862	446.088132	25.302000
3.424233	445.884812	25.402000
3.432608	445.223408	25.502000
3.425441	445.728492	25.602000
3.419579	446.162778	25.702000
3.429296	445.498754	25.802000
3.431622	445.311142	25.902000
3.420691	446.109787	26.002000
3.422472	445.962843	26.102000
3.433354	445.102209	26.202000
3.427415	445.599965	26.302000
